job, trial, rng, PercRed, SearchRadiusPerc, SchoolEnrollmentByLottery, DissimilarityIndex-final, DissimilarityIndex-min, DissimilarityIndex-max, DissimilarityIndex-avg, DissimilarityIndex-0, DissimilarityIndex-1, DissimilarityIndex-2, DissimilarityIndex-3, DissimilarityIndex-4, DissimilarityIndex-5, DissimilarityIndex-6, DissimilarityIndex-7, DissimilarityIndex-8, DissimilarityIndex-9, DissimilarityIndex-10, DissimilarityIndex-11, DissimilarityIndex-12, DissimilarityIndex-13, DissimilarityIndex-14, DissimilarityIndex-15, DissimilarityIndex-16, DissimilarityIndex-17, DissimilarityIndex-18, DissimilarityIndex-19, DissimilarityIndex-20, DissimilarityIndex-21, DissimilarityIndex-22, DissimilarityIndex-23, DissimilarityIndex-24
0, 1, 1745258451, 0.2, 0.2, 0.0, 0.5265946972360925, 0.48096569527785776, 0.4111221587198161, 0.5265946972360925, 0.4111221587198161, 0.48106515921255555, 0.4690564698410326, 0.4619782950016391, 0.47598318609290396, 0.47572376135237693, 0.47492773972725083, 0.464814190763169, 0.460147144567168, 0.48656898656898645, 0.48633280782999977, 0.46506090394463095, 0.4971945444296995, 0.49422060840943355, 0.4821591262312829, 0.47741516571622156, 0.4724926877636318, 0.4741615187038592, 0.5, 0.4702944034931871, 0.5042048703599942, 0.5180396365379587, 0.4762825275785451, 0.5183017918650102, 0.5265946972360925, 
8, 9, 1745258459, 0.2, 0.2, 0.0, 0.49143817532599904, 0.4935924066177291, 0.4580702937567026, 0.5339687194525904, 0.4946087003884693, 0.5158333333333334, 0.5339687194525904, 0.47375, 0.4966737942504158, 0.4580702937567026, 0.49812500000000004, 0.46441148418967493, 0.5065995684468737, 0.4744502312730328, 0.4765218926528934, 0.4960926340654349, 0.4811635089447063, 0.5015753602228143, 0.4866503111546864, 0.4978355162261939, 0.4773401786342217, 0.46948184085202915, 0.5101202616217735, 0.5242574532825286, 0.52095714041464, 0.4870905011219147, 0.5002185153686758, 0.502575750463621, 0.49143817532599904, 
6, 7, 1745258457, 0.2, 0.2, 0.0, 0.4992678335585948, 0.4685109311342704, 0.43144035617968035, 0.5214159696555568, 0.46486594437020723, 0.4781128251716487, 0.45691412295193823, 0.45700243073558855, 0.46494368371477457, 0.44557380663653406, 0.4726141028075512, 0.4476562091452055, 0.43144035617968035, 0.4518901592050433, 0.4773154744941579, 0.5033934914022389, 0.4816525474904675, 0.46508582393366604, 0.46316541781594445, 0.43333009138882866, 0.45925742683722326, 0.4784786228871014, 0.5214159696555568, 0.4806885003472662, 0.4524426899905826, 0.47234220674545574, 0.453388724570952, 0.5005348163205525, 0.4992678335585948, 
11, 12, 1745258462, 0.2, 0.2, 0.0, 0.48875, 0.4947351124298164, 0.4518409928953476, 0.5301707851583162, 0.48857358603802453, 0.49148715687355315, 0.4924254351681475, 0.49027638038963994, 0.520816979734436, 0.5139367751517915, 0.5167658219358858, 0.5207508756189722, 0.5301707851583162, 0.49171157493668927, 0.49582218274069273, 0.4796535125518575, 0.5073083778966132, 0.495082403091726, 0.4853700160804778, 0.47963338513375703, 0.49252342630360496, 0.4888856657605517, 0.470121407503944, 0.4984920547366263, 0.49464780908128897, 0.4518409928953476, 0.49188667642094047, 0.4914445295425252, 0.48875, 
9, 10, 1745258460, 0.2, 0.2, 0.0, 0.4667195563169417, 0.4820664640504584, 0.4489948967083048, 0.5252650342433626, 0.5166021709392649, 0.4489948967083048, 0.4755186165408647, 0.4617510716294586, 0.4657221664467956, 0.45607624158482196, 0.46081218756595327, 0.4949767492364431, 0.48782087875182784, 0.4759529604360869, 0.4773680270477887, 0.49011352018596804, 0.4640301635637003, 0.5101731650695176, 0.45294142541590326, 0.4868211737256296, 0.4653024799593826, 0.48621798613289224, 0.4849128018881698, 0.5024386639077743, 0.5075662581932175, 0.5252650342433626, 0.4890396022203398, 0.4985238035510523, 0.4667195563169417, 
7, 8, 1745258458, 0.2, 0.2, 0.0, 0.4792833021628459, 0.47850678962874527, 0.4488255507727277, 0.5262219776220425, 0.4743965334635764, 0.45319433998914216, 0.45863506677487126, 0.4744806346882738, 0.5262219776220425, 0.45737704256172435, 0.4817507749059433, 0.4850393087543645, 0.5029853616839406, 0.4865668512727336, 0.4939983298647017, 0.4765350867045783, 0.4792062850829405, 0.4679879708821632, 0.5002125460726401, 0.46899971531925544, 0.5023439726417783, 0.4718930495099153, 0.48056990178539444, 0.4640824427882278, 0.4627076253498004, 0.47668139070960397, 0.4488255507727277, 0.48869467935544414, 0.4792833021628459, 
3, 4, 1745258454, 0.2, 0.2, 0.0, 0.46547091057606177, 0.4726992503491654, 0.4487403454113909, 0.48625, 0.480518914901092, 0.48624999999999996, 0.4663955998745242, 0.4772412373962548, 0.4691330172877355, 0.4841798983882799, 0.4823554004522251, 0.4786954471496361, 0.46769440036272947, 0.4807241496527097, 0.48440388560913755, 0.48625, 0.47128274603106224, 0.4671106323362309, 0.48148578297441147, 0.48451723898162613, 0.45936762258601327, 0.4487403454113909, 0.4771118681448929, 0.4605116949036286, 0.48548707230831917, 0.4614557784836423, 0.45955205366970076, 0.45154556124782935, 0.46547091057606177, 
10, 11, 1745258461, 0.2, 0.2, 0.0, 0.5003632063250354, 0.4898559634176049, 0.44026568560536694, 0.5207564011640703, 0.4874115613530189, 0.5207564011640703, 0.46727554197204957, 0.4693971468016567, 0.5152862073758339, 0.5187614817441999, 0.5009282178217821, 0.4945148387535294, 0.47363522523437235, 0.47648490961961165, 0.4843027642499486, 0.4912232448034811, 0.4987621384960329, 0.5081895908232215, 0.47312429107315057, 0.4866266138417375, 0.4867379793238552, 0.44026568560536694, 0.5016517174029975, 0.5072923643537893, 0.4891938776981826, 0.4762593244072845, 0.4935133790092493, 0.48444137618666694, 0.5003632063250354, 
2, 3, 1745258453, 0.2, 0.2, 0.0, 0.45375712214745084, 0.47961478753286274, 0.437218357332871, 0.5251318546053328, 0.5251318546053328, 0.4860405953107296, 0.4805437153592622, 0.4801014543656966, 0.45665193312252134, 0.4728919362583613, 0.47829305851693904, 0.45426759760615565, 0.48303182601890754, 0.47261555126243726, 0.4821095689817611, 0.437218357332871, 0.48257564285065274, 0.48198572687665187, 0.4935934572028701, 0.5053833713167202, 0.4853254921692103, 0.49156102371314947, 0.47752892042403583, 0.47161190919373364, 0.45438053480080914, 0.5019243611093409, 0.47545697075786236, 0.5063877070181056, 0.45375712214745084, 
5, 6, 1745258456, 0.2, 0.2, 0.0, 0.47897876624919944, 0.46898577922964746, 0.42504013625152626, 0.5079999360311056, 0.458775295949028, 0.42504013625152626, 0.44019269990857296, 0.4780795298355372, 0.46441040291050967, 0.4768915468953945, 0.43717676109472525, 0.4384223313667634, 0.4534047863377802, 0.4841244197001753, 0.4678793038946295, 0.4743863844152191, 0.449736894207562, 0.45770759873434536, 0.48766304685302686, 0.4802612289273692, 0.5079999360311056, 0.48180054913221987, 0.48583333333333323, 0.48118485431594066, 0.49178233679072597, 0.4765699412093146, 0.48626522755739526, 0.460077168839786, 0.47897876624919944, 
